category,scenario,eta_max,qber_lo,qber_hi,skr_pk,avail
Atmosphere,Clear,1.550e-03,27.88,2.71,1.448e+04,64.1
Atmosphere,Moderate,1.465e-03,34.39,2.75,1.359e+04,60.0
Atmosphere,Turbulent,1.301e-03,43.62,2.85,1.189e+04,53.3
Detector,High-performance,1.953e-03,17.03,2.17,1.986e+04,88.8
Detector,Medium-performance,1.465e-03,20.95,2.24,1.473e+04,82.7
Detector,Low-performance,9.763e-04,32.73,2.65,9.215e+03,63.1
Orbital altitude,Low LEO (500 km),1.772e-03,33.11,2.62,1.678e+04,62.0
Orbital altitude,Mid LEO (550 km),1.465e-03,34.39,2.75,1.359e+04,60.0
Orbital altitude,High LEO (600 km),1.231e-03,35.51,2.89,1.117e+04,58.0
Peak elevation,Very-low peak-elevation pass (12 deg),5.752e-05,34.39,15.85,0.000e+00,0.0
Peak elevation,Low peak-elevation pass (30 deg),3.459e-04,34.39,5.03,2.111e+03,60.0
Peak elevation,Medium peak-elevation pass (55 deg),9.918e-04,34.39,3.10,8.692e+03,60.0
Peak elevation,High peak-elevation pass (80 deg),1.465e-03,34.39,2.75,1.359e+04,60.0
